Name,Club,CupYear
Michael Konsel,AS Rom,1998
Franz Wohlfahrt,VfB Stuttgart,1998
Wolfgang Knaller,FK Austria Wien,1998
Walter Kogler,AS Cannes,1998
Wolfgang Feiersinger,Borussia Dortmund,1998
Peter Schöttel,SK Rapid Wien,1998
Anton Pfeffer,FK Austria Wien,1998
Martin Hiden,SK Rapid Wien,1998
Andreas Heraf,SK Rapid Wien,1998
Roman Mählich,SK Sturm Graz,1998
Arnold Wetl,SK Rapid Wien,1998
Dietmar Kühbauer,Real Sociedad San Sebastián,1998
Harald Cerny,TSV 1860 München,1998
Martin Amerhauser,Red Bull Salzburg,1998
Andreas Herzog,SV Werder Bremen,1998
Hannes Reinmayr,SK Sturm Graz,1998
Peter Stöger,SK Rapid Wien,1998
Markus Schopp,Hamburger SV,1998
Heimo Pfeifenberger,SV Werder Bremen,1998
Ivica Vastic,SK Sturm Graz,1998
Mario Haas,SK Sturm Graz,1998
Toni Polster,1.FC Köln,1998
Peter Rufai,Deportivo La Coruna,1998
William Okpara,Orlando Pirates,1998
Abiodun Baruwa,FC Sion,1998
Godwin Okpara,Racing Straßburg,1998
Uche Okechukwu,Fenerbahce Istanbul,1998
Boniface Okafor †,Sporting Kansas City,1998
Augustine Owen Eguavoen,Torpedo Moskau,1998
Celestine Babayaro,FC Chelsea,1998
Taribo West,Inter Mailand,1998
Ben Iroha,D.C. United,1998
Mobi Oparaku,KV Turnhout,1998
Sunday Oliseh,Ajax Amsterdam,1998
Mutiu Adepoju,Real Sociedad San Sebastián,1998
Garba Lawal,Esperance Tunis,1998
Jay-Jay Okocha,Fenerbahce Istanbul,1998
Wilson Oruma,RC Lens,1998
Finidi George,Real Betis Sevilla,1998
Tijani Babangida,Ajax Amsterdam,1998
Nwankwo Kanu,Inter Mailand,1998
Rasheed Yekini †,FC Zürich,1998
Daniel Amokachi,Besiktas Istanbul,1998
Victor Ikpeba,AS Monaco,1998
Andoni Zubizarreta,FC Valencia,1998
Santiago Cañizares,Celta Vigo,1998
José Francisco Molina,Atlético Madrid,1998
Fernando Hierro,Real Madrid,1998
Rafael Alkorta,Athletic Bilbao,1998
Abelardo,FC Barcelona,1998
Miguel Ángel Nadal,FC Barcelona,1998
Agustín Aranzabal,Real Sociedad San Sebastián,1998
Sergi Barjuán,FC Barcelona,1998
Albert Ferrer,FC Barcelona,1998
Iván Campo,RCD Mallorca,1998
Albert Celades,FC Barcelona,1998
Guillermo Amor,FC Barcelona,1998
Juan Carlos Aguilera,Atlético Madrid,1998
Julen Guerrero,Athletic Bilbao,1998
Luis Enrique,FC Barcelona,1998
Joseba Etxeberria,Athletic Bilbao,1998
Raúl,Real Madrid,1998
Fernando Morientes,Real Madrid,1998
Juan Antonio Pizzi,FC Barcelona,1998
Alfonso,Real Betis Sevilla,1998
Kiko,Atlético Madrid,1998
Edwin van der Sar,Ajax Amsterdam,1998
Ed de Goey,FC Chelsea,1998
Ruud Hesp,FC Barcelona,1998
Jaap Stam,PSV Eindhoven,1998
Frank de Boer,Ajax Amsterdam,1998
André Ooijer,Roda JC Kerkrade,1998
Winston Bogarde,FC Barcelona,1998
Arthur Numan,PSV Eindhoven,1998
Giovanni van Bronckhorst,Feyenoord Rotterdam,1998
Michael Reiziger,FC Barcelona,1998
Wim Jonk,PSV Eindhoven,1998
Phillip Cocu,PSV Eindhoven,1998
Edgar Davids,AC Mailand,1998
Aron Winter,Inter Mailand,1998
Clarence Seedorf,Real Madrid,1998
Boudewijn Zenden,PSV Eindhoven,1998
Ronald de Boer,Ajax Amsterdam,1998
Marc Overmars,FC Arsenal,1998
Dennis Bergkamp,FC Arsenal,1998
Patrick Kluivert,AC Mailand,1998
Pierre van Hooijdonk,Nottingham Forest,1998
Jimmy Floyd Hasselbaink,Leeds United,1998
Filip de Wilde,Sporting Lissabon,1998
Philipe vande Walle,Lierse SK,1998
Dany Verlinden,FC Brügge,1998
Eric van Meir,Lierse SK,1998
Lorenzo Staelens,FC Brügge,1998
Gordan Vidovic,Excelsior Mouscron,1998
Philippe Clement,KRC Genk,1998
Glen de Boeck,RSC Anderlecht,1998
Mike Verstraeten,Germinal Ekeren,1998
Vital Borkelmans,FC Brügge,1998
Nico van Kerckhoven,Lierse SK,1998
Bertrand Crasson,SSC Neapel,1998
Eric Deflandre,FC Brügge,1998
Franky van der Elst,FC Brügge,1998
Enzo Scifo,RSC Anderlecht,1998
Danny Boffin,FC Metz,1998
Marc Wilmots,FC Schalke 04,1998
Luis Oliveira,AC Florenz,1998
Mbo Mpenza,Standard Lüttich,1998
Luc Nilis,PSV Eindhoven,1998
Gert Verheyen,FC Brügge,1998
Emile Mpenza,Standard Lüttich,1998
Andreas Köpke,Olympique Marseille,1998
Oliver Kahn,FC Bayern München,1998
Jens Lehmann,FC Schalke 04,1998
Lothar Matthäus,FC Bayern München,1998
Christian Wörns,Bayer 04 Leverkusen,1998
Jürgen Kohler,Borussia Dortmund,1998
Thomas Helmer,FC Bayern München,1998
Markus Babbel,FC Bayern München,1998
Michael Tarnat,FC Bayern München,1998
Stefan Reuter,Borussia Dortmund,1998
Jens Jeremies,TSV 1860 München,1998
Steffen Freund,Borussia Dortmund,1998
Dietmar Hamann,FC Bayern München,1998
Olaf Thon,FC Schalke 04,1998
Jörg Heinrich,Borussia Dortmund,1998
Christian Ziege,AC Mailand,1998
Andreas Möller,Borussia Dortmund,1998
Thomas Häßler,Karlsruher SC,1998
Ulf Kirsten,Bayer 04 Leverkusen,1998
Olaf Marschall,1.FC Kaiserslautern,1998
Jürgen Klinsmann,Sampdoria Genua,1998
Oliver Bierhoff,Udinese Calcio,1998
Ivica Kralj,FC Porto,1998
Dragoje Lekovic,Sporting Gijón,1998
Branko Brnovic,Espanyol Barcelona,1998
Goran Djorovic,Celta Vigo,1998
Miroslav Djukic,FC Valencia,1998
Sinisa Mihajlovic,Sampdoria Genua,1998
Slobodan Komljenovic,MSV Duisburg,1998
Niša Saveljić,FC Girondins Bordeaux,1998
Zoran Mirkovic,Atalanta Bergamo,1998
Zeljko Petrovic,PSV Eindhoven,1998
Dragan Stojkovic,Nagoya Grampus,1998
Miroslav Stevic,TSV 1860 München,1998
Slavisa Jokanovic,CD Teneriffa,1998
Dejan Govedarica,US Lecce,1998
Dejan Stankovic,Roter Stern Belgrad,1998
Vladimir Jugovic,Lazio Rom,1998
Dejan Savicevic,Roter Stern Belgrad,1998
Ljubinko Drulovic,FC Porto,1998
Perica Ognjenovic,Roter Stern Belgrad,1998
Predrag Mijatović,Real Madrid,1998
Savo Milosevic,Aston Villa,1998
Darko Kovacevic,Real Sociedad San Sebastián,1998
David Seaman,FC Arsenal,1998
Nigel Martyn,Leeds United,1998
Tim Flowers,Blackburn Rovers,1998
Sol Campbell,Tottenham Hotspur,1998
Tony Adams,FC Arsenal,1998
Gareth Southgate,Aston Villa,1998
Martin Keown,FC Arsenal,1998
Rio Ferdinand,West Ham United,1998
Graeme Le Saux,Blackburn Rovers,1998
Gary Neville,Manchester United,1998
Paul Ince,FC Liverpool,1998
David Batty,Newcastle United,1998
David Beckham,Manchester United,1998
Paul Scholes,Manchester United,1998
Paul Merson,FC Middlesbrough,1998
Steve McManaman,FC Liverpool,1998
Rob Lee,Newcastle United,1998
Darren Anderton,Tottenham Hotspur,1998
Alan Shearer,Newcastle United,1998
Teddy Sheringham,Manchester United,1998
Les Ferdinand,Tottenham Hotspur,1998
Michael Owen,FC Liverpool,1998
Óscar Córdoba,Club Atlético Boca Juniors,1998
Miguel Calero †,Deportivo Cali,1998
Faryd Mondragón,CA Independiente de Avellaneda,1998
José Santa,Atlético Nacional,1998
Iván Córdoba,Atlético Nacional,1998
Éver Palacios,Deportivo Cali,1998
Jorge Bermúdez,Club Atlético Boca Juniors,1998
Wilmer Cabrera,CA Independiente de Avellaneda,1998
Luis Moreno,Deportes Tolima,1998
Andrés Estrada,Atlético Nacional,1998
Mauricio Serna,Club Atlético Boca Juniors,1998
John Wilmar Pérez,Deportivo Cali,1998
Hárold Lozano,Real Valladolid,1998
Carlos Valderrama,Tampa Bay Mutiny,1998
Jorge Bolaño,CD Atlético Junior,1998
Freddy Rincón,Corinthians Sao Paulo,1998
Anthony de Ávila,Barcelona SC Guayaquil,1998
Adolfo Valencia,CD América de Cali,1998
Faustino Asprilla,Newcastle United,1998
Víctor Aristizábal,FC São Paulo,1998
Hámilton Ricard,FC Middlesbrough,1998
Léider Preciado,Independiente Santa Fe,1998
Stanislav Cherchesov,Dynamo Dresden,1994
Dmitri Kharin,FC Chelsea,1994
Yuri Nikiforov,Spartak Moskau,1994
Sergey Gorlukovich,KFC Uerdingen 05,1994
Vladislav Ternavski,Nyva Ternopil,1994
Viktor Onopko,Spartak Moskau,1994
Dmitri Galyamin,Espanyol Barcelona,1994
Dmitri Popov,Racing Santander,1994
Omari Tetradze,Dinamo Moskau,1994
Dmitri Khlestov,Spartak Moskau,1994
Andrey Pyatnitskiy,Spartak Moskau,1994
Igor Ledyakhov,Spartak Moskau,1994
Aleksandr Mostovoi,Benfica Lissabon,1994
Valeri Karpin,Spartak Moskau,1994
Ilia Tsymbalar †,Spartak Moskau,1994
Igor Korneev,Espanyol Barcelona,1994
Oleg Salenko,CD Logrones,1994
Vladimir Beschastnykh,Spartak Moskau,1994
Aleksandr Borodyuk,FC Schalke 04,1994
Dmitri Radchenko,Racing Santander,1994
Sergey Yuran,Benfica Lissabon,1994
Bodo Illgner,1.FC Köln,1994
Andreas Köpke,1.FC Nürnberg,1994
Oliver Kahn,Karlsruher SC,1994
Lothar Matthäus,FC Bayern München,1994
Michael Schulz,Borussia Dortmund,1994
Jürgen Kohler,Juventus Turin,1994
Thomas Helmer,FC Bayern München,1994
Guido Buchwald,VfB Stuttgart,1994
Thomas Berthold,VfB Stuttgart,1994
Andreas Brehme,1.FC Kaiserslautern,1994
Thomas Strunz,VfB Stuttgart,1994
Matthias Sammer,Borussia Dortmund,1994
Maurizio Gaudino,Eintracht Frankfurt,1994
Mario Basler,SV Werder Bremen,1994
Martin Wagner,1.FC Kaiserslautern,1994
Uwe Bein,Eintracht Frankfurt,1994
Andreas Möller,Juventus Turin,1994
Thomas Häßler,AS Rom,1994
Stefan Effenberg,AC Florenz,1994
Karl-Heinz Riedle,Borussia Dortmund,1994
Stefan Kuntz,1.FC Kaiserslautern,1994
Rudi Völler,Olympique Marseille,1994
Jürgen Klinsmann,AS Monaco,1994
Ulf Kirsten,Bayer 04 Leverkusen,1994
Ed de Goey,Feyenoord Rotterdam,1994
Edwin van der Sar,Ajax Amsterdam,1994
Theo Snelders,Aberdeen FC,1994
Ronald Koeman,FC Barcelona,1994
Danny Blind,Ajax Amsterdam,1994
Stan Valckx,Sporting Lissabon,1994
Frank de Boer,Ajax Amsterdam,1994
Frank Rijkaard,Ajax Amsterdam,1994
John de Wolf,(RJO) Feyenoord/Excelsior U19,1994
Arthur Numan,PSV Eindhoven,1994
Ulrich van Gobbel,Feyenoord Rotterdam,1994
Jan Wouters,FC Bayern München,1994
Wim Jonk,Inter Mailand,1994
Aron Winter,Lazio Rom,1994
Rob Witschge,Feyenoord Rotterdam,1994
Ronald de Boer,Ajax Amsterdam,1994
Marc Overmars,Ajax Amsterdam,1994
Peter van Vossen,Ajax Amsterdam,1994
Bryan Roy,Foggia Calcio,1994
Dennis Bergkamp,Inter Mailand,1994
John Bosman,RSC Anderlecht,1994
Gaston Taument,Feyenoord Rotterdam,1994
Michel Preud'homme,KV Mechelen,1994
Filip de Wilde,RSC Anderlecht,1994
Dany Verlinden,FC Brügge,1994
Dirk Medved,FC Brügge,1994
Eric van Meir,RSC Charleroi,1994
Philippe Albert,RSC Anderlecht,1994
Lorenzo Staelens,FC Brügge,1994
Georges Grün,FC Parma,1994
Vital Borkelmans,FC Brügge,1994
Rudi Smidts,Royal FC Antwerpen,1994
Michel de Wolf,RSC Anderlecht,1994
Pascal Renier,FC Brügge,1994
Marc Emmers,RSC Anderlecht,1994
Franky van der Elst,FC Brügge,1994
Enzo Scifo,AS Monaco,1994
Danny Boffin,RSC Anderlecht,1994
Stéphane van der Heyden,FC Brügge,1994
Marc Wilmots,Standard Lüttich,1994
Josip Weber,Cercle Brügge,1994
Luc Nilis,RSC Anderlecht,1994
Marc Degryse,RSC Anderlecht,1994
Alex Czerniatynski,KV Mechelen,1994
Walter Zenga,Inter Mailand,1990
Stefano Tacconi,Juventus Turin,1990
Gianluca Pagliuca,Sampdoria Genua,1990
Franco Baresi,AC Mailand,1990
Ciro Ferrara,SSC Neapel,1990
Riccardo Ferri,Inter Mailand,1990
Paolo Maldini,AC Mailand,1990
Pietro Vierchowod,Sampdoria Genua,1990
Luigi de Agostini,Juventus Turin,1990
Giuseppe Bergomi,Inter Mailand,1990
Giancarlo Marocchi,Juventus Turin,1990
Carlo Ancelotti,AC Mailand,1990
Nicola Berti,Inter Mailand,1990
Fernando de Napoli,SSC Neapel,1990
Roberto Donadoni,AC Mailand,1990
Giuseppe Giannini,AS Rom,1990
Roberto Baggio,AC Florenz,1990
Andrea Carnevale,SSC Neapel,1990
Aldo Serena,Inter Mailand,1990
Roberto Mancini,Sampdoria Genua,1990
Salvatore Schillaci,Juventus Turin,1990
Gianluca Vialli,Sampdoria Genua,1990
Klaus Lindenberger,FC Wacker Innsbruck,1990
Michael Konsel,SK Rapid Wien,1990
Otto Konrad,SK Sturm Graz,1990
Ernst Aigner,FK Austria Wien,1990
Kurt Russ,First Vienna FC,1990
Michael Streiter,FC Wacker Innsbruck,1990
Anton Pfeffer,FK Austria Wien,1990
Peter Schöttel,SK Rapid Wien,1990
Michael Baur,FC Wacker Innsbruck,1990
Robert Pecl,SK Rapid Wien,1990
Andreas Reisinger,Wiener Sportklub,1990
Manfred Linzmaier,FC Wacker Innsbruck,1990
Gerald Glatzmayer †,First Vienna FC,1990
Manfred Zsak,FK Austria Wien,1990
Peter Artner,FC Admira Wacker Mödling,1990
Alfred Hörtnagl,FC Wacker Innsbruck,1990
Andreas Herzog,SK Rapid Wien,1990
Heimo Pfeifenberger,SK Rapid Wien,1990
Christian Keglevits,SK Rapid Wien,1990
Toni Polster,FC Sevilla,1990
Andreas Ogris,FK Austria Wien,1990
Gerhard Rodax,FC Admira Wacker Mödling,1990
Ángel Comizzo,Club Atlético River Plate,1990
Nery Alberto Pumpido,Real Betis Sevilla,1990
Sergio Goycochea,Millonarios FC,1990
Fabián Cancelarich,Ferro Carril Oeste,1990
Nestor Gabriel Lorenzo,FC Bari,1990
José Serrizuela,Club Atlético River Plate,1990
Edgardo Bauza,Club Atlético Rosario Central,1990
Néstor Ariel Fabbri,Racing Club de Avellaneda,1990
Néstor Sensini,Udinese Calcio,1990
Oscar Ruggeri,Real Madrid,1990
Juan Ernesto Simón,Club Atlético Boca Juniors,1990
Pedro Monzón,CA Independiente de Avellaneda,1990
José Basualdo,VfB Stuttgart,1990
Jorge Luis Burruchaga,FC Nantes,1990
Pedro Troglio,Lazio Rom,1990
Ricardo Omar Giusti,CA Independiente de Avellaneda,1990
Sergio Daniel Batista,Club Atlético River Plate,1990
Julio Jorge Olarticoechea,Racing Club de Avellaneda,1990
Gabriel Humberto Calderón,FC Paris Saint-Germain,1990
Diego Maradona,SSC Neapel,1990
Claudio Caniggia,Hellas Verona,1990
Abel Balbo,Udinese Calcio,1990
Gustavo Dezotti,US Cremonese,1990
Jim Leighton,Manchester United,1990
Andy Goram,Hibernian FC,1990
Bryan Gunn,Norwich City,1990
Alex McLeish,Aberdeen FC,1990
Roy Aitken,Celtic Glasgow,1990
Richard Gough,Glasgow Rangers,1990
Craig Levein,Heart of Midlothian FC,1990
Dave McPherson,Heart of Midlothian FC,1990
Maurice Malpas,Dundee United FC,1990
Stewart McKimmie,Aberdeen FC,1990
Gary Gillespie,FC Liverpool,1990
Gary McAllister,Leicester City,1990
Murdo MacLeod,Borussia Dortmund,1990
Paul McStay,Celtic Glasgow,1990
Stuart McCall,FC Everton,1990
Jim Bett,Aberdeen FC,1990
John Collins,Hibernian FC,1990
Gordon Durie,FC Chelsea,1990
Robert Fleck,Norwich City,1990
Mo Johnston,Glasgow Rangers,1990
Ally McCoist,Glasgow Rangers,1990
Alan McInally,FC Bayern München,1990
Bodo Illgner,1.FC Köln,1990
Raimond Aumann,FC Bayern München,1990
Andreas Köpke,1.FC Nürnberg,1990
Klaus Augenthaler,FC Bayern München,1990
Lothar Matthäus,Inter Mailand,1990
Jürgen Kohler,FC Bayern München,1990
Guido Buchwald,VfB Stuttgart,1990
Thomas Berthold,AS Rom,1990
Paul Steiner,1.FC Köln,1990
Andreas Brehme,Inter Mailand,1990
Hans Pflügler,FC Bayern München,1990
Stefan Reuter,FC Bayern München,1990
Günter Hermann,SV Werder Bremen,1990
Olaf Thon,FC Bayern München,1990
Pierre Littbarski,1.FC Köln,1990
Thomas Häßler,1.FC Köln,1990
Uwe Bein,Eintracht Frankfurt,1990
Andreas Möller,Borussia Dortmund,1990
Rudi Völler,AS Rom,1990
Frank Mill,Borussia Dortmund,1990
Karl-Heinz Riedle,SV Werder Bremen,1990
Jürgen Klinsmann,Inter Mailand,1990
Michel Preud'homme,KV Mechelen,1990
Gilbert Bodart,Standard Lüttich,1990
Filip de Wilde,RSC Anderlecht,1990
Pascal Plovie,FC Brügge,1990
Patrick Vervoort,RSC Anderlecht,1990
Philippe Albert,KV Mechelen,1990
Stéphane Demol,FC Porto,1990
Georges Grün,RSC Anderlecht,1990
Jean-Francois de Sart,RFC Lüttich,1990
Lorenzo Staelens,FC Brügge,1990
Michel de Wolf,KV Kortrijk,1990
Eric Gerets,PSV Eindhoven,1990
Bruno Versavel,KV Mechelen,1990
Marc Emmers,KV Mechelen,1990
Lei Clijsters †,KV Mechelen,1990
Franky van der Elst,FC Brügge,1990
Enzo Scifo,AJ Auxerre,1990
Jan Ceulemans,FC Brügge,1990
Marc Wilmots,KV Mechelen,1990
Nico Claesen,Royal FC Antwerpen,1990
Marc Van Der Linden,RSC Anderlecht,1990
Marc Degryse,RSC Anderlecht,1990
Franco Tancredi,AS Rom,1986
Giovanni Galli,AC Florenz,1986
Sebastiano Nela,AS Rom,1986
Roberto Tricella,Hellas Verona,1986
Gaetano Scirea †,Juventus Turin,1986
Franco Baresi,AC Mailand,1986
Pietro Vierchowod,Sampdoria Genua,1986
Fulvio Collovati,Inter Mailand,1986
Antonio Cabrini,Juventus Turin,1986
Giuseppe Bergomi,Inter Mailand,1986
Salvatore Bagni,SSC Neapel,1986
Antonio Di Gennaro,Hellas Verona,1986
Marco Tardelli,Inter Mailand,1986
Giuseppe Baresi,Inter Mailand,1986
Carlo Ancelotti,AS Rom,1986
Bruno Conti,AS Rom,1986
Pietro Fanna,Inter Mailand,1986
Giuseppe Galderisi,Hellas Verona,1986
Bruno Giordano,SSC Neapel,1986
Gianluca Vialli,Sampdoria Genua,1986
Paolo Rossi,AC Mailand,1986
Alessandro Altobelli,Inter Mailand,1986
Daniele Massaro,AC Florenz,1986
Troels Rasmussen,Aarhus GF,1986
Morten Olsen,RSC Anderlecht,1986
Ivan Nielsen,Feyenoord Rotterdam,1986
Henrik Andersen,RSC Anderlecht,1986
John Sivebaek,Vejle Boldklub,1986
Klaus Berggreen,AC Pisa 1909,1986
Jens Jörn Bertelsen,FC Aarau,1986
Jan Mölby,FC Liverpool,1986
Sören Lerby,FC Bayern München,1986
Frank Arnesen,RSC Anderlecht,1986
Michael Laudrup,Juventus Turin,1986
Per Frimann,RSC Anderlecht,1986
John Eriksen †,Feyenoord Rotterdam,1986
Preben Elkjaer-Larsen,Hellas Verona,1986
Toni Schumacher,1.FC Köln,1986
Uli Stein,Hamburger SV,1986
Matthias Herget,KFC Uerdingen 05,1986
Lothar Matthäus,FC Bayern München,1986
Ditmar Jakobs,Hamburger SV,1986
Klaus Augenthaler,FC Bayern München,1986
Guido Buchwald,VfB Stuttgart,1986
Thomas Berthold,Eintracht Frankfurt,1986
Karlheinz Förster,VfB Stuttgart,1986
Norbert Eder,FC Bayern München,1986
Wolfgang Funkel,KFC Uerdingen 05,1986
Andreas Brehme,1.FC Kaiserslautern,1986
Karl Allgöwer,VfB Stuttgart,1986
Wolfgang Rolff,Hamburger SV,1986
Olaf Thon,FC Schalke 04,1986
Ludwig Kögl,FC Bayern München,1986
Pierre Littbarski,1.FC Köln,1986
Felix Magath,Hamburger SV,1986
Norbert Meier,SV Werder Bremen,1986
Hans-Peter Briegel,Hellas Verona,1986
Heinz Gründel,Hamburger SV,1986
Frank Mill,Borussia Mönchengladbach,1986
Dieter Hoeneß,FC Bayern München,1986
Uwe Rahn,Borussia Mönchengladbach,1986
Rudi Völler,SV Werder Bremen,1986
Klaus Allofs,1.FC Köln,1986
Karl-Heinz Rummenigge,Inter Mailand,1986
Andy Goram,Oldham Athletic,1986
David Narey,Dundee United FC,1986
Alex McLeish,Aberdeen FC,1986
Willie Miller,Aberdeen FC,1986
Maurice Malpas,Dundee United FC,1986
Arthur Albiston,Manchester United,1986
Jim Bett,Aberdeen FC,1986
Davie Cooper †,Glasgow Rangers,1986
Paul Sturrock,Dundee United FC,1986
Ally McCoist,Glasgow Rangers,1986
Peter Shilton,FC Southampton,1986
Chris Woods,Norwich City,1986
Gary Bailey,Manchester United,1986
Mark Wright,FC Southampton,1986
Alvin Martin,West Ham United,1986
Terry Butcher,Ipswich Town,1986
Terry Fenwick,Queens Park Rangers,1986
Kenny Sansom,FC Arsenal,1986
Gary Stevens,FC Everton,1986
Viv Anderson,FC Arsenal,1986
Gordon Cowans,FC Bari,1986
Gary Stevens,Tottenham Hotspur,1986
Peter Reid,FC Everton,1986
Bryan Robson,Manchester United,1986
Ray Wilkins,AC Mailand,1986
Steve Hodge,Aston Villa,1986
Trevor Steven,FC Everton,1986
Glenn Hoddle,Tottenham Hotspur,1986
Chris Waddle,Tottenham Hotspur,1986
John Barnes,FC Watford,1986
Mark Hateley,AC Mailand,1986
Gary Lineker,FC Everton,1986
Peter Beardsley,Newcastle United,1986
Kerry Dixon,FC Chelsea,1986
Dino Zoff,Juventus Turin,1982
Claudio Bordon,Inter Mailand,1982
Giovanni Galli,AC Florenz,1982
Franco Baresi,AC Mailand,1982
Gaetano Scirea †,Juventus Turin,1982
Fulvio Collovati,AC Mailand,1982
Pietro Vierchowod,Sampdoria Genua,1982
Antonio Cabrini,Juventus Turin,1982
Giuseppe Bergomi,Inter Mailand,1982
Claudio Gentile,Juventus Turin,1982
Giuseppe Dossena,FC Turin,1982
Giampiero Marini,Inter Mailand,1982
Gabriele Oriali,Inter Mailand,1982
Marco Tardelli,Juventus Turin,1982
Bruno Conti,AS Rom,1982
Giancarlo Antognoni,AC Florenz,1982
Franco Causio,Udinese Calcio,1982
Daniele Massaro,AC Florenz,1982
Alessandro Altobelli,Inter Mailand,1982
Francesco Graziani,AC Florenz,1982
Paolo Rossi,Vicenza Calcio,1982
Franco Selvaggi,Cagliari Calcio,1982
Toni Schumacher,1.FC Köln,1982
Bernd Franke,Eintracht Braunschweig,1982
Eike Immel,Borussia Dortmund,1982
Lothar Matthäus,Borussia Mönchengladbach,1982
Karlheinz Förster,VfB Stuttgart,1982
Bernd Förster,VfB Stuttgart,1982
Wilfried Hannes,Borussia Mönchengladbach,1982
Holger Hieronymus,Hamburger SV,1982
Manfred Kaltz,Hamburger SV,1982
Wolfgang Dremmler,FC Bayern München,1982
Uli Stielike,Real Madrid,1982
Stephan Engels,1.FC Köln,1982
Paul Breitner,FC Bayern München,1982
Hansi Müller,VfB Stuttgart,1982
Hans-Peter Briegel,1.FC Kaiserslautern,1982
Pierre Littbarski,1.FC Köln,1982
Felix Magath,Hamburger SV,1982
Jürgen Milewski,Hamburger SV,1982
Klaus Fischer,1.FC Köln,1982
Horst Hrubesch,Hamburger SV,1982
Karl-Heinz Rummenigge,FC Bayern München,1982
Uwe Reinders,SV Werder Bremen,1982
Thomas Allofs,Fortuna Düsseldorf,1982
Héctor Rodolfo Baley,Talleres de Córdoba CA,1982
Ubaldo Matildo Fillol,Club Atlético River Plate,1982
Nery Alberto Pumpido,Club Atlético Vélez Sarsfield,1982
Enzo Héctor Trossero,CA Independiente de Avellaneda,1982
José Daniel van Tuyne,Racing Club de Avellaneda,1982
Jorge Mario Olguín,CA Independiente de Avellaneda,1982
Daniel Passarella,Club Atlético River Plate,1982
Luis Adolfo Galván,Talleres de Córdoba CA,1982
Alberto César Tarantini,Club Atlético River Plate,1982
Patricio Jose Hernández,Estudiantes de La Plata,1982
Juan Alberto Barbas,Racing Club de Avellaneda,1982
Américo Gallego,Club Atlético River Plate,1982
Osvaldo César Ardiles,Tottenham Hotspur,1982
Julio Jorge Olarticoechea,Club Atlético River Plate,1982
Gabriel Humberto Calderón,CA Independiente de Avellaneda,1982
Diego Maradona,Club Atlético Boca Juniors,1982
José Daniel Valencia,Talleres de Córdoba CA,1982
Santiago Santamaría,Club Atlético Newell's Old Boys,1982
Ricardo Daniel Bertoni,AC Florenz,1982
Ramón Díaz,Club Atlético River Plate,1982
Mario Kempes,Club Atlético River Plate,1982
Jorge Valdano,Real Saragossa ,1982
Ray Clemence,Tottenham Hotspur,1982
Joe Corrigan,Manchester City,1982
Peter Shilton,Nottingham Forest,1982
Terry Butcher,Ipswich Town,1982
Steve Foster,Brighton & Hove Albion,1982
Phil Thompson,FC Liverpool,1982
Mick Mills,Ipswich Town,1982
Kenny Sansom,FC Arsenal,1982
Viv Anderson,Nottingham Forest,1982
Phil Neal,FC Liverpool,1982
Terry McDermott,FC Liverpool,1982
Bryan Robson,Manchester United,1982
Ray Wilkins,Manchester United,1982
Steve Coppell,Manchester United,1982
Graham Rix,FC Arsenal,1982
Sir Trevor Brooking,West Ham United,1982
Glenn Hoddle,Tottenham Hotspur,1982
Kevin Keegan,FC Southampton,1982
Trevor Francis,Manchester City,1982
Paul Mariner,Ipswich Town,1982
Peter Withe,Aston Villa,1982
Tony Woodcock,1.FC Köln,1982
Dominique Baratelli,FC Paris Saint-Germain,1982
Jean Castaneda,AS Saint-Étienne,1982
Jean-Luc Ettori,AS Monaco,1982
Christian Lopez,AS Saint-Étienne,1982
Marius Trésor,FC Girondins Bordeaux,1982
Patrick Battiston,AS Saint-Étienne,1982
Maxime Bossis,FC Nantes,1982
Philippe Mahut †,FC Metz,1982
Manuel Amoros,AS Monaco,1982
Gérard Janvion,AS Saint-Étienne,1982
René Girard,FC Girondins Bordeaux,1982
Jean Tigana,FC Girondins Bordeaux,1982
Jean-François Larios,AS Saint-Étienne,1982
Bernard Genghini,FC Sochaux-Montbéliard,1982
Michel Platini,AS Saint-Étienne,1982
Alain Couriol,AS Monaco,1982
Alain Giresse,FC Girondins Bordeaux,1982
Bruno Bellone,AS Monaco,1982
Didier Six,VfB Stuttgart,1982
Bernard Lacombe,FC Girondins Bordeaux,1982
Dominique Rocheteau,FC Paris Saint-Germain,1982
Gerard Soler,FC Girondins Bordeaux,1982
Luis Arkonada,Real Sociedad San Sebastián,1982
Javier Urruti †,FC Barcelona,1982
Miguel Ángel,Real Madrid,1982
José Ramón Alexanko,FC Barcelona,1982
Miguel Tendillo,FC Valencia,1982
Manolo Jiménez,Sporting Gijón,1982
Antonio Maceda,Sporting Gijón,1982
José Antonio Camacho,Real Madrid,1982
Rafael Gordillo,Real Betis Sevilla,1982
Santi Urkiaga,Athletic Bilbao,1982
Periko Alonso,Real Sociedad San Sebastián,1982
Ricardo Gallego,Real Madrid,1982
Jesús Mari Zamora,Real Sociedad San Sebastián,1982
Tente Sánchez,FC Barcelona,1982
Joaquín,Sporting Gijón,1982
Enrique Saura,FC Valencia,1982
Roberto López Ufarte,Real Unión Irún,1982
Juanito †,Real Madrid,1982
Jesús Satrustegui,Real Sociedad San Sebastián,1982
Pello Uralde,Real Sociedad San Sebastián,1982
