Name,Club,CupYear
Hérculez Gómez,Sporting Kansas City,2010
Edson Buddle,Los Angeles Galaxy,2010
Robbie Findley,Real Salt Lake City,2010
Robert Green,West Ham United,2010
Joe Hart,Birmingham City,2010
Paul Robinson,Blackburn Rovers,2010
David James,FC Portsmouth,2010
Ben Foster,Manchester United,2010
Rio Ferdinand,Manchester United,2010
John Terry,FC Chelsea,2010
Jamie Carragher,FC Liverpool,2010
Joleon Lescott,FC Everton,2010
Ledley King,Tottenham Hotspur,2010
Wes Brown,Manchester United,2010
Matthew Upson,West Ham United,2010
Michael Dawson,Tottenham Hotspur,2010
Gary Cahill,Bolton Wanderers,2010
Ryan Shawcross,Stoke City,2010
Ashley Cole,FC Chelsea,2010
Wayne Bridge,Manchester City,2010
Leighton Baines,FC Everton,2010
Stephen Warnock,Blackburn Rovers,2010
Glen Johnson,FC Liverpool,2010
Tom Huddlestone,Tottenham Hotspur,2010
Steven Gerrard,FC Liverpool,2010
Frank Lampard,FC Chelsea,2010
Michael Carrick,Manchester United,2010
Gareth Barry,Manchester City,2010
Jermaine Jenas,Tottenham Hotspur,2010
Scott Parker,West Ham United,2010
David Beckham,Los Angeles Galaxy,2010
James Milner,Aston Villa,2010
Ashley Young,Aston Villa,2010
Stewart Downing,FC Middlesbrough,2010
Joe Cole,FC Chelsea,2010
Aaron Lennon,Tottenham Hotspur,2010
Shaun Wright-Phillips,Manchester City,2010
Adam Johnson,FC Middlesbrough,2010
Theo Walcott,FC Arsenal,2010
Wayne Rooney,Manchester United,2010
Jermain Defoe,Tottenham Hotspur,2010
Darren Bent,Tottenham Hotspur,2010
Peter Crouch,FC Portsmouth,2010
Carlton Cole,West Ham United,2010
Emile Heskey,Aston Villa,2010
Samir Handanovic,Udinese Calcio,2010
Jasmin Handanovic,Mantova FC,2010
Aleksander Seliga,Sparta Rotterdam,2010
Bostjan Cesar,Grenoble Foot 38,2010
Branko Ilic,Real Betis Sevilla,2010
Matej Mavric,TuS Koblenz,2010
Marko Suler,KAA Gent,2010
Dejan Kelhar,Cercle Brügge,2010
Elvedin Dzinic,NK Maribor,2010
Bojan Jokic,FC Sochaux-Montbéliard,2010
Suad Filekovic,NK Maribor,2010
Miso Brecko,1.FC Köln,2010
Aleksandar Radosavljevic,Tom Tomsk,2010
Rene Krhin,Inter Mailand,2010
Dalibor Stevanovic,Vitesse Arnheim,2010
Andrej Komac,Djurgardens IF,2010
Robert Koren,West Bromwich Albion,2010
Valter Birsa,AJ Auxerre,2010
Nejc Pecnik,CD Nacional,2010
Mirnes Sisic,Vereinslos,2010
Andraz Kirm,Wisla Krakau,2010
Milivoje Novakovic,1.FC Köln,2010
Zlatan Ljubijankic,KAA Gent,2010
Zlatko Dedic,VfL Bochum,2010
Tim Matavz,FC Groningen,2010
Raïs M'Bolhi,Slavia Sofia,2010
Lounès Gaouaoui,ASO Chlef,2010
Mohamed Ousserir,CR Belouizdad,2010
Mohamed Lamine Zemmamouche,MC Algier,2010
Fawzi Chaouchi,ES Sétif,2010
Madjid Bougherra,Glasgow Rangers,2010
Habib Bellaid,Eintracht Frankfurt,2010
Anthar Yahia,VfL Bochum,2010
Carl Medjani,AC Ajaccio,2010
Rafik Halliche,CD Nacional,2010
Samir Zaoui,ASO Chlef,2010
Abdelkader Laïfaoui,ES Sétif,2010
Nadir Belhadj,FC Portsmouth,2010
Slimana Raho,ES Sétif,2010
Réda Babouche,MC Algier,2010
Mehdi Lacen,Racing Santander,2010
Khaled Lemmouchia,ES Sétif,2010
Hassan Yebda,Benfica Lissabon,2010
Yazid Mansouri,FC Lorient,2010
Adlène Guédioura,RSC Charleroi,2010
Cherif Abdesslam,USM Annaba,2010
Hameur Bouazza,FC Fulham,2010
